Iteration	Y	var_1	var_2
1.0	-19.008880840373372	0.4650045568805927	-2.4922729754276194
2.0	-11.750372046971084	1.3487914207533214	-0.4195493240440116
3.0	-15.513874891552838	0.29738997993951655	2.6682937505767326
4.0	-22.65876987076679	0.14170620874569373	1.5381089511742285
5.0	0.9392621998653112	-2.950936084584754	0.77682405833318
6.0	-27.80251132521464	0.6488554645721023	1.406208051777867
7.0	-11.817810146255855	1.1722660573364208	1.477478884159388
8.0	-29.05859074506514	0.473723577183408	1.3892059186027805
9.0	-31.179914050760722	0.4956073415934941	1.0903904714720851
10.0	-29.646847675085734	0.19488254162004415	0.6549026500238428
