Iteration	Y	var_1	var_2
1.0	-19.00888084037337	0.4650045568805927	-2.4922729754276194
2.0	-11.750372046971085	1.3487914207533214	-0.4195493240440116
3.0	-15.513874891552836	0.2973899799395165	2.668293750576733
4.0	-22.658769870766786	0.14170620874569373	1.5381089511742283
5.0	0.9392621998653112	-2.9509360845847543	0.7768240583331801
6.0	-27.80251132521464	0.6488554645721023	1.406208051777867
7.0	-11.817810146255855	1.1722660573364208	1.4774788841593882
8.0	-29.05859074506514	0.473723577183408	1.3892059186027803
9.0	-31.17991405076072	0.4956073415934941	1.0903904714720851
10.0	-29.64684767508573	0.19488254162004406	0.6549026500238428
11.0	-14.931924218840175	-0.481450758003859	-0.060493363356715374
12.0	-33.17694762550134	0.5392043548064993	0.6940341922476664
13.0	3.7211848524175664	-3.0	-3.0
14.0	-4.521184852417567	3.0	-3.0
15.0	3.7211848524175664	-3.0	3.0
16.0	-4.521184852417567	3.0	3.0
17.0	-34.251280776286805	0.5457453679756032	0.3496527223112141
18.0	4.415675652997279	-0.6983717773342814	-3.0
19.0	-28.637687789642893	0.2707863355637865	-1.1424806660451237
20.0	-34.27397096602924	0.3988697059224201	-0.20073645459638573
21.0	-34.632417311356285	0.4351707641997923	0.06968774959130755
22.0	6.7651007545978	1.4366816722405944	-3.0
23.0	0.6676788942827736	-3.0	-1.0598802884477518
24.0	-34.601396468005284	0.5511671680877186	-0.022134807566636786
25.0	-10.112722171740387	-0.2849148740756655	-1.622020693447545
26.0	-23.918718596223165	0.7852790471448576	-1.5506321226297828
27.0	-33.670623243263684	0.5039982193265372	-0.5959108844769114
28.0	-4.0272193363651665	-1.0669185345715608	3.0
29.0	-34.72486335814568	0.5128257523472036	0.10586565870983752
30.0	-6.829232731303763	3.0	-1.3401900105295828
31.0	5.589974722049608	1.3687279593534143	3.0
32.0	-8.32490535031124	3.0	0.7186024704575087
33.0	-31.965218341421924	0.2937624117037325	-0.5843026274833704
34.0	-34.442782993684354	0.5296025457989076	-0.2912293989409435
35.0	-5.469442232406024	3.0	1.8243183814944322
